Id,Key,Name,Category,Symbol,Abstract,Url,DetailUrl,RateUrl,Rating,TopEffect,TopMedical,TopActivity
41,purple-haze,Purple Haze,Sativa,Ph,Purple Haze is a great strain for medicinal users because it provides strong relief from pain.,http://www.leafly.com/sativa/purple-haze,http://www.leafly.com/api/details/purple-haze,http://www.leafly.com/me/create/purple-haze,8.2,Euphoric,Stress,Create art
4449,purple-ice,Purple Ice,Hybrid,Pi,,http://www.leafly.com/hybrid/purple-ice,http://www.leafly.com/api/details/purple-ice,http://www.leafly.com/me/create/purple-ice,8.4,Euphoric,Stress,N/A
135,purple-kush,Purple Kush,Indica,Pk,,http://www.leafly.com/indica/purple-kush,http://www.leafly.com/api/details/purple-kush,http://www.leafly.com/me/create/purple-kush,8.2,Lazy,Insomnia,Relax at home
241,purple-mr-nice,Purple Mr. Nice,Indica,Pmn,"GDP and Mr. Nice come together in this very heavy indica, do not operate heavy machinery after smoking.",http://www.leafly.com/indica/purple-mr-nice,http://www.leafly.com/api/details/purple-mr-nice,http://www.leafly.com/me/create/purple-mr-nice,8.3,Lazy,Pain,Relax at home
2999,purple-nepal,Purple Nepal,Indica,Pn,,http://www.leafly.com/indica/purple-nepal,http://www.leafly.com/api/details/purple-nepal,http://www.leafly.com/me/create/purple-nepal,7.7,Euphoric,Stress,N/A
14278,purple-og-kush,Purple OG Kush,Indica,Pok,,http://www.leafly.com/indica/purple-og-kush,http://www.leafly.com/api/details/purple-og-kush,http://www.leafly.com/me/create/purple-og-kush,8.5,Euphoric,Pain,Meditate
995,purple-passion,Purple Passion,Indica,Pp,,http://www.leafly.com/indica/purple-passion,http://www.leafly.com/api/details/purple-passion,http://www.leafly.com/me/create/purple-passion,8.3,Sleepy,Insomnia,Relax at home
196,purple-princess,Purple Princess,Hybrid,Pp,,http://www.leafly.com/hybrid/purple-princess,http://www.leafly.com/api/details/purple-princess,http://www.leafly.com/me/create/purple-princess,8.5,Lazy,Stress,Relax at home
1007,purple-sage,Purple Sage ,Hybrid,Psg,,http://www.leafly.com/hybrid/purple-sage,http://www.leafly.com/api/details/purple-sage,http://www.leafly.com/me/create/purple-sage,8,Happy,Pain,N/A
2834,purple-skunk,Purple Skunk,Hybrid,Psk,,http://www.leafly.com/hybrid/purple-skunk,http://www.leafly.com/api/details/purple-skunk,http://www.leafly.com/me/create/purple-skunk,9.4,Euphoric,Anxiety,Meditate
